Repository Name,Num Of Executables,AVG Heap Allocs Fraction,AVG Stack Allocs,SUM Stack Allocs,AVG Heap Allocs,SUM Heap Allocs
glog,13,0.0024505762347222,3111125.923076923,40444637.0,66.3076923076923,862.0
OpenCC,14,0.0352046210063861,48154.357142857145,674161.0,842.2857142857143,11792.0
json,75,0.0024193576759081,507184815.96,38038861197.0,287427.04,21557028.0
fmt,20,0.0319600647559797,881993.45,17639869.0,5790.75,115815.0
MyTinySTL,1,0.0723472669320787,1986595599.0,1986595599.0,154933799.0,154933799.0
yaml-cpp,1,0.0002688919810098,1335902183.0,1335902183.0,359310.0,359310.0
benchmark,40,0.0453991744958156,240904419.85,9636176794.0,1025246.875,41009875.0
spdlog,2,0.0927274411713349,2095560.5,4191121.0,99408.5,198817.0
magic_enum,22,0.0028476600480726,738412.4090909091,16245073.0,1845.2727272727277,40596.0
leveldb,3,0.0075169577531471,1332434494.3333333,3997303483.0,20316957.0,60950871.0
