Repository Name, Num Of Executables,AVG Heap Allocs Fraction,Stack Allocs AVG,Stack Allocs Sum,Heap Allocs AVG,Heap Allocs Sum
benchmark,40,0.0453991744958157,240904419.85,9636176794,1025246.875,41009875
fmt,20,0.0315068519994125,881993.45,17639869,5790.75,115815
json,75,0.00235615145376321,508340463.546667,38125534766,287424.16,21556812
leveldb,3,0.00751695775314716,,,,
MyTinySTL,1,0.0723472669320788,,,,
spdlog,2,0.0927274411713348,,,,
glog,13,0.00245057623472224,3111125.92307692,40444637,66.3076923076923,862
magic_enum,22,0.00284766004807274,,,,
OpenCC,14,0.0352046210063862,,,,
Snapy (?),1,0.000318774014370717,,,,
Yaml-cpp,1,0.000268891981009888,,,,
AVERAGE,,0.0266313060991013,,,,
