Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
dynamorio/build/suite/tests/bin/simple_app,17,1,0,0,0,0,1,0,1,0,27704.0,1.31088399887085,True
dynamorio/build/suite/tests/bin/allasm_x86_64,0,1,0,0,0,0,1,0,0,0,9048.0,0.0739645957946777,True
dynamorio/build/suite/tests/bin/api.ir,0,1,0,0,0,0,1,0,0,0,11813184.0,0.351300716400147,True
dynamorio/build/suite/tests/bin/api.ir-static,138995,1,1316,1316,57932,44.0212765957447,1,16,0.990620835144786,0.00937916485521449,804032.0,1.29272937774658,True
dynamorio/build/suite/tests/bin/api.drdecode,5207,1,31,31,5680,183.225806451613,1,0,0.994081710576556,0.00591828942344406,610392.0,0.529648780822754,True
dynamorio/build/suite/tests/bin/common.broadfun spaces,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,27840.0,0.104685544967651,False
dynamorio/build/suite/tests/bin/common.fib,93400776,1,0,0,0,0,1,0,1,0,27784.0,3.02032494544983,True
dynamorio/build/suite/tests/bin/common.decode-bad,error,error,error,error,error,error,error,error,error,error,27904.0,611.996530294418,False
dynamorio/build/suite/tests/bin/common.decode,317,1,0,0,0,0,1,3,1,0,27928.0,4.40855073928833,True
dynamorio/build/suite/tests/bin/common.eflags,255,1,0,0,0,0,1,0,1,0,27944.0,0.62709903717041,True
dynamorio/build/suite/tests/bin/common.floatpc,41,1,0,0,0,0,1,0,1,0,27712.0,0.63258695602417,True
dynamorio/build/suite/tests/bin/common.getretaddr,24,1,0,0,0,0,1,0,1,0,27712.0,0.478013277053833,True
dynamorio/build/suite/tests/bin/common.nativeexec,386,1,100,100,800,8,1,0,0.794238683127572,0.205761316872428,32688.0,0.870728254318237,True
dynamorio/build/suite/tests/bin/common.segfault,36,1,0,0,0,0,1,1,1,0,27760.0,0.77521538734436,True
dynamorio/build/suite/tests/bin/libutil.frontend_test,134,1,3,3,4356,1452,1,1,0.978102189781022,0.0218978102189781,40432.0,0.649560213088989,True
dynamorio/build/suite/tests/bin/libutil.drconfig_test,12,1,0,0,0,0,1,0,1,0,78512.0,0.74564266204834,True
dynamorio/build/suite/tests/bin/client.call-retarget,26,1,0,0,0,0,1,0,1,0,27768.0,0.474404811859131,True
dynamorio/build/suite/tests/bin/client.abort,11,1,0,0,0,0,1,0,1,0,22656.0,0.569093227386475,True
dynamorio/build/suite/tests/bin/client.modules,12,1,0,0,0,0,1,0,1,0,27864.0,0.480944395065308,True
dynamorio/build/suite/tests/bin/client.alloc,80,1,0,0,0,0,1,0,1,0,27712.0,0.54230523109436,True
dynamorio/build/suite/tests/bin/client.alloc-noreset,80,1,0,0,0,0,1,0,1,0,27720.0,0.469109058380127,True
dynamorio/build/suite/tests/bin/client.cleancall,97,1,0,0,0,0,1,0,1,0,27928.0,0.5099036693573,True
dynamorio/build/suite/tests/bin/client.count-ctis,30,1,0,0,0,0,1,0,1,0,27712.0,0.473735570907593,True
dynamorio/build/suite/tests/bin/client.syscall,16,1,0,0,0,0,1,0,1,0,22744.0,0.492477178573608,True
dynamorio/build/suite/tests/bin/client.annotation-concurrency,34,1,0,0,0,0,1,0,1,0,41816.0,0.473912954330444,True
dynamorio/build/suite/tests/bin/client.annotation-concurrency-opt,36,1,0,0,0,0,1,0,1,0,37720.0,0.494284868240356,True
dynamorio/build/suite/tests/bin/client.annotation-detection,945,1,5,3,72932,14586.4,1,0,0.994736842105263,0.00526315789473684,43568.0,2.53876662254334,True
dynamorio/build/suite/tests/bin/client.annotation-detection-opt,667,1,5,3,72932,14586.4,1,0,0.992559523809524,0.00744047619047619,43248.0,0.753828287124634,True
dynamorio/build/suite/tests/bin/client.partial_module_map,29,1,0,0,0,0,1,0,1,0,31848.0,0.579573154449463,True
dynamorio/build/suite/tests/bin/client.mbr_instrumentation_segment,18,1,0,0,0,0,1,0,1,0,22640.0,0.698940753936768,True
dynamorio/build/suite/tests/bin/client.segfault,758,1,0,0,0,0,1,1,1,0,27976.0,1.96026396751404,True
dynamorio/build/suite/tests/bin/client.execfault,75,1,0,0,0,0,1,2,1,0,27872.0,0.628127336502075,True
dynamorio/build/suite/tests/bin/client.vg-annot,209,1,4,4,5986,1496.5,1,0,0.981220657276995,0.0187793427230047,22872.0,0.654004096984863,True
dynamorio/build/suite/tests/bin/client.vg-annot-opt,211,1,4,4,5986,1496.5,1,0,0.981395348837209,0.0186046511627907,22824.0,0.609379053115845,True
dynamorio/build/suite/tests/bin/client.events,193,2,4,0,150,37.5,2,1,0.979695431472081,0.0203045685279188,28136.0,1.35780239105225,True
dynamorio/build/suite/tests/bin/client.events_cpp,193,2,6,0,145558,24259.6666666667,2,1,0.969849246231156,0.0301507537688442,28144.0,1.51040816307068,True
dynamorio/build/suite/tests/bin/client.timer,13000163,1,0,0,0,0,1,0,1,0,27816.0,1.39787912368774,True
dynamorio/build/suite/tests/bin/client.mangle_suspend,254059,1,1,1,272,272,1,0,0.999996063921908,3.93607809178934E-06,28128.0,1.59854292869568,True
dynamorio/build/suite/tests/bin/client.syscall-mod,15,1,0,0,0,0,1,0,1,0,22720.0,0.621920824050903,True
dynamorio/build/suite/tests/bin/client.signal,116,1,0,0,0,0,1,2,1,0,27904.0,0.468661308288574,True
dynamorio/build/suite/tests/bin/client.cbr-retarget,26,1,0,0,0,0,1,0,1,0,27768.0,0.59918737411499,True
dynamorio/build/suite/tests/bin/client.cleancallsig,265972421,1,0,0,0,0,1,8327685,1,0,27768.0,4.35056114196777,True
dynamorio/build/suite/tests/bin/client.file_io,541,1,0,0,0,0,1,0,1,0,32352.0,0.574897289276123,True
dynamorio/build/suite/tests/bin/client.thread,17,1,0,0,0,0,1,0,1,0,27704.0,0.590667009353638,True
dynamorio/build/suite/tests/bin/client.strace,24,1,1,1,4096,4096,1,0,0.96,0.04,22912.0,0.52611517906189,True
dynamorio/build/suite/tests/bin/client.cleancall-opt-1,22,1,0,0,0,0,1,0,1,0,27984.0,0.53715443611145,True
dynamorio/build/suite/tests/bin/client.inline,32,1,0,0,0,0,1,0,1,0,28144.0,0.524368286132813,True
dynamorio/build/suite/tests/bin/client.null_instrument,10030,1,0,0,0,0,1,0,1,0,27816.0,1.05626177787781,True
dynamorio/build/suite/tests/bin/client.large_options,53,2,0,0,0,0,2,0,1,0,28000.0,0.949380397796631,True
dynamorio/build/suite/tests/bin/client.gonative,85,1,1,1,272,272,1,1,0.988372093023256,0.0116279069767442,33000.0,0.699150085449219,True
dynamorio/build/suite/tests/bin/client.drmgr-test,59,1,0,0,0,0,1,0,1,0,28392.0,0.583832263946533,True
dynamorio/build/suite/tests/bin/client.drx_buf-test,1683,1,1,1,272,272,1,1,0.999406175771972,0.000593824228028504,28056.0,0.581593751907349,True
dynamorio/build/suite/tests/bin/client.drbbdup-meta-label-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4920.0,0.190307855606079,True
dynamorio/build/suite/tests/bin/client.drbbdup-meta-nop-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4920.0,0.16450834274292,True
dynamorio/build/suite/tests/bin/client.drbbdup-empty-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4912.0,0.108503818511963,True
dynamorio/build/suite/tests/bin/client.drbbdup-drwrap-test,18,1,0,0,0,0,1,0,1,0,27872.0,0.650308609008789,True
dynamorio/build/suite/tests/bin/client.drbbdup-emul-test,18,1,0,0,0,0,1,0,1,0,27720.0,0.513884782791138,True
dynamorio/build/suite/tests/bin/client.drbbdup-emul-reg-clobber-test,30,1,0,0,0,0,1,0,1,0,27728.0,0.549465894699097,True
dynamorio/build/suite/tests/bin/client.process-id,35,2,2,1,544,272,2,0,0.945945945945946,0.0540540540540541,22752.0,5.71815061569214,True
dynamorio/build/suite/tests/bin/client.drreg-test,523,1,0,0,0,0,1,12,1,0,44072.0,0.628495693206787,True
dynamorio/build/suite/tests/bin/client.drx-test,47,1,0,0,0,0,1,0,1,0,28192.0,0.530917882919312,True
dynamorio/build/suite/tests/bin/client.low_on_memory,422,1,200,200,800,4,1,0,0.678456591639871,0.321543408360129,27816.0,0.56493067741394,True
dynamorio/build/suite/tests/bin/client.tls,47,1,1,1,288,288,1,0,0.979166666666667,0.0208333333333333,28072.0,0.556906223297119,True
dynamorio/build/suite/tests/bin/client.drx-scattergather,2110,1,0,0,0,0,1,1,1,0,32056.0,0.545872688293457,True
dynamorio/build/suite/tests/bin/allasm_scattergather,0,1,0,0,0,0,1,0,0,0,9184.0,0.214574575424194,True
dynamorio/build/suite/tests/bin/allasm_repstr,0,1,0,0,0,0,1,0,0,0,13136.0,0.144418716430664,True
dynamorio/build/suite/tests/bin/client.drwrap-test,18,1,0,0,0,0,1,0,1,0,27864.0,0.605788946151733,True
dynamorio/build/suite/tests/bin/client.drwrap-test-callconv,76,1,1,1,72704,72704,1,0,0.987012987012987,0.012987012987013,27992.0,0.63600492477417,True
dynamorio/build/suite/tests/bin/client.drwrap-test-detach,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1864040.0,1.6951322555542,False
dynamorio/build/suite/tests/bin/client.drwrap-drreg-test,18,1,0,0,0,0,1,0,1,0,27872.0,0.661489009857178,True
dynamorio/build/suite/tests/bin/client.drsyms-test,18,1,1,1,72704,72704,1,0,0.947368421052632,0.0526315789473684,28416.0,0.668616056442261,True
dynamorio/build/suite/tests/bin/client.drutil-test,57,1,0,0,0,0,1,0,1,0,28392.0,0.546549320220947,True
dynamorio/build/suite/tests/bin/client.pcache,24,1,0,0,0,0,1,0,1,0,27800.0,0.592846632003784,True
dynamorio/build/suite/tests/bin/api.dis,0,1,0,0,0,0,1,0,0,0,23232.0,0.297731876373291,True
dynamorio/build/suite/tests/bin/api.startstop,0,1,0,0,0,0,1,0,0,0,33288.0,0.356881618499756,True
dynamorio/build/suite/tests/bin/api.detach,0,1,0,0,0,0,1,0,0,0,33136.0,0.291754961013794,True
dynamorio/build/suite/tests/bin/api.detach_state,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1791088.0,1.60153436660767,False
dynamorio/build/suite/tests/bin/api.detach_signal,0,1,0,0,0,0,1,0,0,0,33520.0,0.490739107131958,True
dynamorio/build/suite/tests/bin/api.detach_spawn,0,1,0,0,0,0,1,0,0,0,32792.0,0.456511735916138,True
dynamorio/build/suite/tests/bin/api.detach_spawn_stress_FLAKY,0,1,0,0,0,0,1,0,0,0,32864.0,0.32233190536499,True
