Repository Name,Num Of Executables,AVG Heap Allocs Fraction,AVG Stack Allocs,SUM Stack Allocs,AVG Heap Allocs,SUM Heap Allocs
s2n-tls,260,0.81570130502364,32707169.057915058,8471156786.0,467818.90733590734,121165097.0
Collections-C,25,0.0390722309424185,18441703.16,461042579.0,401128.64,10028216.0
json-c,27,0.2816874687632241,338.48148148148147,9139.0,193.7037037037037,5230.0
dynamorio,173,0.010597165008436618,3408869.119205298,514739237.0,21.649006622516556,3269.0
libevent_tmp,2,,,0.0,,0.0
openssl,296,0.15134093209775656,9414302.488135593,2777219234.0,15982.342372881356,4714791.0
cJSON,19,0.0341093028188102,65692.21052631579,1248152.0,102.10526315789474,1940.0
zlog,27,0.3143717286609367,40.629629629629626,1097.0,11.074074074074074,299.0
cmark,1,0.0264273928517856,71395.0,71395.0,1938.0,1938.0
fastfetch,2,0.010733196236471,30461.0,60922.0,330.5,661.0
jq,2,0.0232682203300857,103400980.5,206801961.0,2459538.0,4919076.0
libsndfile,36,0.0292184924451926,645575.0555555555,23240702.0,284.75,10251.0
mimalloc,3,0.082938933444801,32596499.33333333,97789498.0,9001555.333333334,27004666.0
onion,17,0.297444905219644,91275.11764705884,1551677.0,18372.70588235294,312336.0
nanomsg,50,0.1422987825790369,28308.9,1415445.0,994.72,49736.0
zip,8,0.0342616803787622,4552.375,36419.0,146.875,1175.0
libuv_tmp,3,0.0003211131434884,14694622107.0,14694622107.0,4720152.0,4720152.0
