Repository Name,Num Of Executables,AVG Heap Allocs Fraction,AVG Stack Allocs,SUM Stack Allocs,AVG Heap Allocs,SUM Heap Allocs
libsndfile,36,0.0097711406445986,1057405.7272727273,23262926.0,206.63636363636363,4546.0
Collections-C,25,0.0428016758264846,18441261.64,461031541.0,401128.64,10028216.0
cmark,1,0.0265575298892179,70999.0,70999.0,1937.0,1937.0
json-c,27,0.338959511029968,341.28,8532.0,208.96,5224.0
zip,8,0.035188425728894,4541.875,36335.0,146.875,1175.0
mimalloc,3,0.2052227887311589,104582364.0,104582364.0,27004655.0,27004655.0
fastfetch,2,0.0100610036340295,33797.0,67594.0,343.5,687.0
cJSON,19,0.036698398779154,65743.78947368421,1249132.0,102.10526315789474,1940.0
nanomsg,50,0.1715008448832367,32719.18604651163,1406925.0,1168.186046511628,50232.0
openssl,295,0.2394027528477027,15393666.841530057,2817041032.0,25844.10382513661,4729471.0
s2n-tls,259,0.0104753108284985,63201749.91119691,16369253227.0,51925.58687258687,13448727.0
onion,17,0.3445609072260177,41739.375,667830.0,19568.375,313094.0
zlog,27,0.0282762298360218,347.5,695.0,6.0,12.0
