Repository Name,Num Of Executables,AVG Heap Allocs Fraction,AVG Stack Allocs,SUM Stack Allocs,AVG Heap Allocs,SUM Heap Allocs,Language
fmt,20,0.0284883332541859,1001949.1,20038982.0,5773.6,115472.0,C++
benchmark,40,0.0443843647544309,226987471.65,9079498866.0,918948.7,36757948.0,C++
glog,13,0.0021166191316479,2776813.3076923075,36098573.0,83.76923076923077,1089.0,C++
magic_enum,22,0.0029891746960718,701023.7727272727,15422523.0,1845.272727272728,40596.0,C++
MyTinySTL,1,0.0730495362946066,1966007782.0,1966007782.0,154933799.0,154933799.0,C++
leveldb,3,0.0010748712262322,9300351781.0,27901055343.0,20317052.33333333,60951157.0,C++
spdlog,2,0.0887848959774594,2208549.5,4417099.0,95036.5,190073.0,C++
yaml-cpp,1,0.0002691383611881,1334678915.0,1334678915.0,359310.0,359310.0,C++
OpenCC,14,0.0353100941068638,47676.78571428572,667475.0,839.3571428571429,11751.0,C++
json,75,0.0024193576759081,507184815.96,38038861197.0,287427.04,21557028.0,C++
s2n-tls,259,0.0104753108284985,63201749.91119691,16369253227.0,51925.58687258687,13448727.0,C
Collections-C,25,0.0428016758264846,18441261.64,461031541.0,401128.64,10028216.0,C
json-c,27,0.338959511029968,341.28,8532.0,208.96,5224.0,C
openssl,295,0.2394027528477027,15393666.841530057,2817041032.0,25844.10382513661,4729471.0,C
cJSON,19,0.036698398779154,65743.78947368421,1249132.0,102.10526315789474,1940.0,C
zlog,27,0.0282762298360218,347.5,695.0,6.0,12.0,C
cmark,1,0.0265575298892179,70999.0,70999.0,1937.0,1937.0,C
fastfetch,2,0.0100610036340295,33797.0,67594.0,343.5,687.0,C
libsndfile,36,0.0097711406445986,1057405.7272727273,23262926.0,206.63636363636363,4546.0,C
mimalloc,3,0.2052227887311589,104582364.0,104582364.0,27004655.0,27004655.0,C
onion,17,0.3445609072260177,41739.375,667830.0,19568.375,313094.0,C
nanomsg,50,0.1715008448832367,32719.18604651163,1406925.0,1168.186046511628,50232.0,C
zip,8,0.035188425728894,4541.875,36335.0,146.875,1175.0,C
